ticker,market,name,subindustry,price_date,close_cny,pe_ttm_vendor,pb_mrq_vendor,revenue_yoy_pct_vendor,net_profit_yoy_pct_vendor,roe_h1_pct_vendor,debt_pct_vendor,report_period,decision,review_level,reason
002223,sz,鱼跃医疗,家用器械,20260904,25.79,23.044645,1.939228,-1.92428600,-29.92346700,6.2200,20.4193,2026H1,观察,原始财报深研,家用品牌优势；呼吸业务和利润仍承压，等待修复
002382,sz,蓝帆医疗,医疗耗材,20260904,5.95,-11.035838,0.863697,29.66624800,179.72117800,1.3400,38.4997,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
002432,sz,九安医疗,家用器械,20260904,67.6,7.132848,1.361417,-30.57709700,233.65686800,13.6500,30.8671,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
002901,sz,大博医疗,医疗耗材,20260904,41.22,24.080383,4.852965,10.69401800,44.65475100,9.4300,29.9183,2026H1,观察,原始财报深研,骨科恢复，但需区分低基数修复与持续内生增长
002950,sz,奥美医疗,医疗耗材,20260904,8.79,22.947722,1.507213,9.67589700,-3.16020800,5.2400,39.3788,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300003,sz,乐普医疗,医疗耗材,20260904,11.74,28.08596,1.31981,-4.60589900,-27.70923600,3.0500,31.7484,2026H1,暂不优先,原始财报深研,营收与归母仍承压
300030,sz,阳普医疗,医疗设备,20260904,6.82,70.104559,3.237979,-6.86656600,101.84588000,4.8500,31.6419,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300049,sz,福瑞医科,医疗设备,20260904,42.3,67.231336,5.681911,5.79928600,23.11867700,3.2100,28.2958,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300171,sz,东富龙,制药装备,20260904,14.03,40.988528,1.347827,4.36703700,134.49302100,1.3500,39.5316,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300206,sz,理邦仪器,医疗设备,20260904,11.79,19.358909,3.08943,12.00595900,30.68267000,9.0400,14.7323,2026H1,优先候选,原始财报深研,估值较低、海外增长与盈利改善；Q2收入减速和研发费用下降须跟踪
300238,sz,冠昊生物,医疗耗材,20260904,11.54,178.090231,5.247497,-13.11958900,-35.11210800,2.3000,36.4527,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300246,sz,宝莱特,医疗设备,20260904,14.99,-37.716028,3.78363,-1.08910000,-2725.81773300,-3.0800,52.1145,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300298,sz,三诺生物,家用器械,20260904,16.01,66.864194,3.014238,12.07636100,22.51955300,7.0200,42.9298,2026H1,观察,原始财报深研,CGM扩张需进一步兑现利润与成本效率
300314,sz,戴维医疗,医疗设备,20260904,11.53,55.192604,2.695096,0.25787700,-52.74711800,1.9400,16.0407,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300326,sz,ST凯利,医疗耗材,20260904,6.32,20.139388,1.559368,-34.03322500,205.71561000,4.6000,5.7043,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300358,sz,楚天科技,制药装备,20260904,8.45,14.65792,1.083725,8.53173100,1280.71203500,2.5800,55.5004,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300396,sz,ST迪瑞,体外诊断,20260904,7.16,-9.294279,1.26247,16.49298500,126.83287000,0.4900,39.7268,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300412,sz,迦南科技,制药装备,20260904,4.56,112.3315,2.223593,-10.40867600,-128.39341700,-0.2000,57.0554,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
300453,sz,三鑫医疗,医疗耗材,20260904,9.17,16.980878,3.206056,9.97815900,14.76552000,8.6500,36.4328,2026H1,仅初筛,厂商量化初筛,未完成公司级原始财报深研，不据此给买入结论
